sample_id,label,PRS
HG00096,1,-1.266065518231511
HG00097,0,-0.9974133312101643
HG00099,0,-0.8029776579988452
HG00100,1,0.17780281421177627
HG00101,0,-1.3524094558027946
HG00102,1,-0.4513913922495667
HG00103,0,-1.1735542729096236
HG00105,1,-1.1487948842005224
HG00106,0,-0.6710087942543598
HG00107,1,-0.7570500228105432
HG00108,1,-0.8037444984760296
HG00109,1,-0.6549114010032837
HG00110,0,-1.0727679476423126
HG00111,0,-1.1365554867629464
HG00112,1,-0.9322136839693658
HG00113,1,-0.9805883167674437
HG00114,0,-0.866783563439978
HG00115,0,-0.680015738349291
HG00116,1,-0.6030428187177197
HG00117,0,-0.2566152737369136
HG00118,1,0.25811741823789625
HG00119,1,-1.1348213118965105
HG00120,1,-0.3421639466065951
HG00121,0,-1.0445331490471654
HG00122,1,0.35914081896856676
HG00123,1,-0.4247385378049462
HG00125,1,-0.8581123691568213
HG00126,0,-0.37627451616345997
HG00127,1,0.3317984718794668
HG00128,1,-0.9851432265187071
HG00129,0,-0.7124805258798336
HG00130,1,-0.6090281593920258
HG00131,0,-0.5518807973688183
HG00132,0,-0.37579266600967376
HG00133,1,-0.2172472795176219
HG00136,1,-0.8305808017035438
HG00137,0,-1.3211332852865878
HG00138,0,-0.602962715741944
HG00139,1,-1.3189350843978556
HG00140,0,-0.99100276328092
HG00141,0,-1.3310275542174466
HG00142,0,-0.8712062621426926
HG00143,0,-0.6754422139510506
HG00145,1,-0.14550679458174703
HG00146,0,-0.4795740579135839
HG00148,0,-0.6809432557889048
HG00149,1,-0.8649877952798152
HG00150,0,-1.932077375878571
HG00151,1,-1.0397277781344243
HG00154,1,-0.4900273329450424
HG00155,0,-0.5163756103085011
HG00157,0,-0.7745601039349341
HG00158,1,-0.011719051843375794
HG00159,0,-1.0238416364265919
HG00160,0,-0.8497759786402714
HG00171,0,-1.0492320311493482
HG00173,1,-0.5718113611686793
HG00174,1,-0.9745303304272497
HG00176,1,0.12800928159011787
HG00177,0,-1.2743940478783768
HG00178,1,-0.9096334024038066
HG00179,0,-1.2133063361121195
HG00180,0,-1.246670768020655
HG00181,1,-0.5867945205561178
HG00182,0,-0.9165693192748463
HG00183,1,-0.822651363510003
HG00185,0,-0.4608251139023515
HG00186,0,-0.21448148297050557
HG00187,1,-0.5054054366599858
HG00188,1,-0.12678091647027462
HG00189,0,-1.354462659445362
HG00190,1,-0.6500437088244628
HG00231,0,-0.8001123976295137
HG00232,0,-0.6146972073675617
HG00233,1,-1.4018178499522398
HG00234,0,-0.437978123432033
HG00235,1,-0.8577322148854867
HG00236,1,-0.8382689112216881
HG00237,0,-1.0692808603277473
HG00238,1,-1.5623958957904107
HG00239,0,0.1948357338271055
HG00240,1,-0.9263284597862855
HG00242,1,-0.24956212306718434
HG00243,0,-1.0156827810574167
HG00244,1,-0.8234905434980438
HG00245,0,-0.7949925928148844
HG00246,0,-0.8073348951436694
HG00250,1,-0.8010468728671712
HG00251,1,-0.7436526505337928
HG00252,1,0.03169545295825685
HG00253,0,-1.138306186873997
HG00254,1,-0.042976982884249004
HG00255,1,-0.7951101762139207
HG00256,1,-0.7533060837102074
HG00257,1,-0.5403406642621904
HG00258,1,-0.8043548905259851
HG00259,0,-1.0360999020365678
HG00260,1,-0.8085731863843826
HG00261,1,-0.1378141311059784
HG00262,0,-0.66629475698087
HG00263,0,-0.7111380461190839
HG00264,1,-0.9566314003756375
HG00265,1,-1.060929753196125
HG00266,0,-0.30366524913252946
HG00267,0,-1.2508415400902162
HG00268,1,-0.5358695316035045
HG00269,1,-0.5383278978604146
HG00271,1,0.25750446792152687
HG00272,1,-0.6862896787739412
HG00273,0,-1.035099993841245
HG00274,0,-0.417020176486669
HG00275,0,-1.3911727893619648
HG00276,0,-0.15865300153537404
HG00277,1,-1.316074745733509
HG00278,0,-1.239173668809756
HG00280,1,0.3322399681598057
HG00281,1,-0.5130199418494417
HG00282,1,-0.48790851841218674
HG00284,0,-1.2293891464736797
HG00285,1,-0.4367355085836184
HG00288,1,-1.0104546756586905
HG00290,0,-1.1570117806852291
HG00304,1,-1.0255979341361003
HG00306,1,-0.8358745682537112
HG00308,0,-1.0347241205360769
HG00309,0,-0.3630202255517282
HG00310,0,-0.8121751320431727
HG00311,0,-0.7901249278159342
HG00313,0,-0.8679130407196366
HG00315,1,-0.5696207190991857
HG00318,0,0.26388781999361066
HG00319,1,-1.0356402483059228
HG00320,1,-0.09395223768388702
HG00321,1,-0.46352190590497244
HG00323,0,-1.3914420985542744
HG00324,1,-0.8023117428297653
HG00325,1,-0.8318189044629366
HG00326,1,0.05401625955503872
HG00327,1,-0.7272940580702455
HG00328,1,-1.0245767249059339
HG00329,1,-0.6159422567403088
HG00330,1,-1.1215214233880826
HG00331,0,-0.366546491466069
HG00332,1,-0.6798593500512399
HG00334,0,-0.8256564107250914
HG00335,1,-0.7561907764573172
HG00336,1,0.30657871463772757
HG00337,0,-0.9375478652204884
HG00338,1,-0.5211507460383036
HG00339,0,-0.5692345054964927
HG00341,1,-0.9581356100871811
HG00342,0,-0.8882203953969567
HG00343,1,-0.6334240525833947
HG00344,1,0.22586737129710732
HG00345,1,-0.8726035789461078
HG00346,0,-1.0642486995007188
HG00349,1,-0.516284365189391
HG00350,1,0.028535725541672857
HG00351,1,-1.043250966085846
HG00353,0,-1.2382633197938366
HG00355,0,-0.7905839995323753
HG00356,1,-0.6757740743672714
HG00357,0,-0.5301528381587389
HG00358,0,-0.7060427219965654
HG00360,1,-0.525070659683398
HG00361,0,-0.8934656396649383
HG00362,0,-0.8235357657687233
HG00364,0,-0.6001905641065673
HG00365,1,-1.032439427672039
HG00366,1,-0.7082748559683081
HG00367,0,-0.2850752844254806
HG00368,1,-0.7031611016550467
HG00369,0,-0.595952155085521
HG00371,1,-0.5716064306402058
HG00372,1,-0.6109069595878842
HG00373,0,-1.1800395528647696
HG00375,0,-1.0610734822352066
HG00376,1,-0.365737945429838
HG00378,0,-0.6426417758251777
HG00379,0,0.19170113112350862
HG00380,0,-1.3091993285853922
HG00381,0,-0.5160716071034084
HG00382,0,-1.2386038327394018
HG00383,1,-0.11910402869570413
HG00384,1,-0.8819012810248157
HG00403,0,-0.2503716478996914
HG00404,1,-0.10179680315809969
HG00406,1,-0.4046675466845824
HG00407,1,-0.3526247560977408
HG00409,0,-0.8879156162347804
HG00410,0,-0.8399787434005824
HG00419,1,-1.1540095835730406
HG00421,1,-0.29298209860735314
HG00422,1,-1.0733885989030938
HG00428,1,-0.3752949144276475
HG00436,1,-0.2545968916634891
HG00437,0,-0.4736621512729631
HG00442,1,-0.6368636888566525
HG00443,0,-0.6582987191803309
HG00445,0,-0.5649294144653766
HG00446,0,-0.794122491211137
HG00448,1,-0.566681569017609
HG00449,1,-0.5451588426118609
HG00451,1,-0.9080210937807687
HG00452,1,-0.2706353604735554
HG00457,1,-0.7212495756505254
HG00458,1,-0.9427942045062934
HG00463,1,-0.45408951358045596
HG00464,1,-0.4722245766665065
HG00472,0,-0.6233220861440064
HG00473,0,-0.7651885334655303
HG00475,1,-0.8025249736461882
HG00476,0,-0.565929053618032
HG00478,0,-0.1183605795569086
HG00479,1,-1.003297092313735
HG00500,0,-1.409908076229497
HG00513,0,-0.8252861975929683
HG00524,0,-0.3837359189291807
HG00525,1,-0.30963403517135435
HG00530,0,-0.850969883259217
HG00531,1,-0.4169076202510361
HG00533,0,-0.5722975549667216
