sample_id,label,PRS
HG00096,0,-1.002033611127508
HG00097,0,-1.172195947136753
HG00099,0,-1.574896727645712
HG00100,0,-1.4374006664117154
HG00101,0,0.07459763771161654
HG00102,0,-2.320179142294466
HG00103,0,-0.588658768275446
HG00105,0,-1.506456075523723
HG00106,0,-0.7685906546984734
HG00107,1,-0.525745677535209
HG00108,0,-1.4776552910228598
HG00109,1,-0.43416056286204296
HG00110,1,-1.6315916800540076
HG00111,0,-1.1000353804551808
HG00112,0,-1.1356917196097205
HG00113,0,-0.8096567805903434
HG00114,0,-1.217416650116133
HG00115,0,-1.0221119119206041
HG00116,1,-1.9630962461724948
HG00117,0,-1.7968346753885605
HG00118,0,-0.4731713606192225
HG00119,0,-1.4524537659095749
HG00120,0,-0.8163599083449735
HG00121,0,-1.5822684692914804
HG00122,0,-1.414765229335481
HG00123,0,-1.5896145675433238
HG00125,0,-1.238509116110131
HG00126,0,-0.9271527571283784
HG00127,0,-2.1189699576305854
HG00128,0,-1.1541240413348632
HG00129,0,-1.625605867218055
HG00130,0,-2.1638396613606425
HG00131,0,-2.2080896765805256
HG00132,0,-0.6322388419136069
HG00133,0,-0.9851437959013125
HG00136,0,-1.8252611289521097
HG00137,0,-1.2931248176801018
HG00138,1,-0.7639887486383616
HG00139,1,-1.2663562448609307
HG00140,0,-2.5648235896307683
HG00141,0,-1.3870101689892116
HG00142,1,-0.8929021451559164
HG00143,0,-1.3629866735628315
HG00145,0,-1.1261658327611799
HG00146,0,-1.8196861378334188
HG00148,0,-1.3149270937299997
HG00149,0,-1.143712635530471
HG00150,0,-1.8909064786133656
HG00151,0,-0.40454700730710647
HG00154,1,-1.4026636760921547
HG00155,0,-1.9696312636925315
HG00157,0,-2.00627539089763
HG00158,0,0.04615683417709043
HG00159,0,-0.1014968517176272
HG00160,1,-1.3348353578743517
HG00171,0,-1.5028442454274318
HG00173,0,-1.1755083081851483
HG00174,0,-1.830787575130397
HG00176,0,-1.1644674836644382
HG00177,0,-2.1913419110015973
HG00178,0,-1.3832253071528897
HG00179,1,-0.38181861027145747
HG00180,0,-2.478866223568595
HG00181,0,-0.2598993963974168
HG00182,0,-0.9148810425292163
HG00183,0,-1.9538356837937965
HG00185,0,-0.906190740784744
HG00186,0,-1.995467015809889
HG00187,1,-1.2268505523562758
HG00188,0,-1.6506393000013935
HG00189,0,-1.2641001217247279
HG00190,0,-2.2577250126697526
HG00231,0,-1.3098728206626742
HG00232,0,-0.9003019026239916
HG00233,0,-1.88691521544133
HG00234,0,-1.6898519644042873
HG00235,0,-1.6270270465805987
HG00236,0,-1.4504662277865135
HG00237,0,-1.5326612515249582
HG00238,0,-1.2785590521018266
HG00239,0,-1.5840171615474155
HG00240,0,-2.1840278721483783
HG00242,1,-1.1926707017314895
HG00243,0,-0.35668799194102085
HG00244,0,-3.111521250420287
HG00245,0,-0.6411688019847904
HG00246,0,-2.233495115907659
HG00250,0,-1.6599784380479548
HG00251,0,-0.9696341306723075
HG00252,0,-2.412896523921466
HG00253,0,-1.0944260581996277
HG00254,0,-2.2395494589336096
HG00255,1,-0.7688907154841598
HG00256,0,-1.198178518616431
HG00257,0,-0.8700398833598975
HG00258,0,-2.1371105123097878
HG00259,0,-1.0133412327630937
HG00260,0,-1.7215429996721687
HG00261,1,-1.0483033195701117
HG00262,0,-2.5824251907278994
HG00263,0,-0.5678730482654651
HG00264,0,-3.204343631662149
HG00265,0,-1.3680056716792315
HG00266,0,-1.9196546220421318
HG00267,0,-1.477584395451199
HG00268,0,-0.644534272434181
HG00269,0,-0.7284739788137895
HG00271,0,-1.759495005409196
HG00272,0,-0.9945239930500606
HG00273,0,-0.9036759427430513
HG00274,0,-0.8196746548422179
HG00275,0,-0.830485047939002
HG00276,0,-0.6583850307544177
HG00277,0,-1.0841928963235277
HG00278,0,-1.6320815911162763
HG00280,1,-1.008023426054143
HG00281,1,-1.4924314557834195
HG00282,0,-0.3710729803922947
HG00284,0,-1.6456393497063337
HG00285,0,-2.470218011414182
HG00288,0,-1.2269935590472598
HG00290,0,-0.9271063192351179
HG00304,0,-2.72358685825339
HG00306,0,-2.2295106442327675
HG00308,0,-0.8816000582311956
HG00309,0,-1.7604918476183828
HG00310,0,-1.3135930733963435
HG00311,0,-0.7284739788137895
HG00313,0,-1.5483478153090522
HG00315,0,-1.4340436123391056
HG00318,0,-1.293704829353283
HG00319,1,-0.20048630784799262
HG00320,0,-1.1542667791469903
HG00321,0,-0.9200775047520027
HG00323,1,-0.6766361294193244
HG00324,1,-1.391562238795176
HG00325,0,-2.11828696246346
HG00326,0,-2.4600173068967344
HG00327,1,-1.1955543291784931
HG00328,0,-1.5698303255189638
HG00329,0,-0.8589285929906183
HG00330,0,-1.2946055621328134
HG00331,0,-2.4395679675956834
HG00332,0,-0.4760604792608406
HG00334,0,-1.718452469279664
HG00335,0,-2.054321379879324
HG00336,0,-1.1510381585885185
HG00337,0,-1.2904737959252066
HG00338,0,-1.2521241885888836
HG00339,0,-0.7188135979240101
HG00341,0,-2.1007323271922607
HG00342,0,-1.4397843121478426
HG00343,0,-1.0645932854645337
HG00344,0,-0.8013198489480571
HG00345,0,-0.9631440568031094
HG00346,0,-0.7087949335128408
HG00349,0,-0.7075390899234462
HG00350,0,-2.3703438132142773
HG00351,0,-1.4629551577715443
HG00353,0,-0.39060197967991844
HG00355,0,-1.5245198372176898
HG00356,0,-0.7075390899234462
HG00357,0,-2.9128180144272973
HG00358,0,-1.835676606656756
HG00360,0,-2.012709167384504
HG00361,0,-1.6856844128339445
HG00362,0,-2.199431455234247
HG00364,0,-1.1103089404727182
HG00365,0,-1.0805346897907184
HG00366,0,-1.5913071256542473
HG00367,0,-1.3646486176066217
HG00368,0,-1.4340436123391056
HG00369,0,-2.100273298543923
HG00371,0,-1.2549363172997785
HG00372,0,-1.0125835505294256
HG00373,0,-1.8618817826579916
HG00375,0,-1.2027305884223956
HG00376,0,-0.689265934225217
HG00378,0,-0.8504711741699416
HG00379,0,-2.812531753404987
HG00380,1,-0.5412646009827198
HG00381,0,-2.674805357682366
HG00382,0,-0.8873021402441651
HG00383,0,-0.8610396677574377
HG00384,0,-0.5673835653887216
HG00403,0,-1.0010505820974036
HG00404,0,-0.6399749681021458
HG00406,0,-1.6869320299971418
HG00407,0,-0.9491022007073764
HG00409,0,-0.8716539486220598
HG00410,0,-1.2223821956194798
HG00419,1,-0.959327423171432
HG00421,0,-1.0137549254575817
HG00422,0,-0.9126081398200174
HG00428,0,-1.8553193705716953
HG00436,0,-0.38410467128464937
HG00437,0,-1.2391042563635475
HG00442,0,-1.3550309921323693
HG00443,0,-0.24879795910043853
HG00445,0,-1.5245198372176898
HG00446,0,-0.9240752336549394
HG00448,0,-1.2939195474762046
HG00449,0,-1.682073433674589
HG00451,0,-1.0695033490968462
HG00452,0,-1.3059948966530337
HG00457,0,-1.1391479018734194
HG00458,0,-0.7424166029332151
HG00463,0,-1.559489117965945
HG00464,0,-1.170254773252101
HG00472,0,-1.2124080636761416
HG00473,0,-1.0935485732055086
HG00475,0,-0.7460311241518082
HG00476,0,-1.334779485847231
HG00478,0,-1.978252084516881
HG00479,0,-0.7532245445301298
HG00500,0,-1.7469163586011085
HG00513,0,-1.3818101948855004
HG00524,0,-0.46952615594682806
HG00525,0,-0.4385779653089526
HG00530,0,-1.4633163545669041
HG00531,0,-1.019580303728147
HG00533,0,-1.7079406761115044
HG00534,1,-1.6222310827182285
HG00536,0,-1.7517749549236608
HG00537,0,-1.059081189257223
HG00542,0,-1.751468428407073
HG00543,0,-0.9176251319480999
HG00551,1,-1.2570565421354556
HG00553,0,-1.0798080455740338
HG00554,0,-1.7178916626457346
HG00556,0,-1.5524600890087976
HG00557,0,-1.7944962146699794
HG00559,0,-1.1528137589922056
HG00560,0,-1.3432661015613936
HG00565,0,-0.898791913996708
HG00566,0,-0.8994683025901447
HG00580,0,-1.4168763041023005
HG00581,0,-0.8317994806010025
HG00583,0,-0.9899370873006811
HG00584,0,-1.303002977670352
HG00589,0,-0.11324899693425666
HG00590,0,-0.7231406946478173
HG00592,0,-0.8796141383109041
HG00593,0,-1.4820772600147976
HG00595,0,-0.9628149471902887
HG00596,0,-1.0411863539480248
HG00598,0,-2.063946640733593
HG00599,0,-0.1345621769839263
HG00607,0,-1.0050144801601517
HG00608,0,-0.8775175729248168
HG00610,1,-0.5086973554978553
HG00611,0,-1.2851449581689944
HG00613,0,-2.2530725933822957
HG00614,0,-0.8228820075480886
HG00619,0,-0.9101894615878073
HG00620,0,-0.5146953982360358
HG00622,0,-1.6479465848529364
HG00623,0,-0.1780087072690883
HG00625,0,-0.6246035338151431
HG00626,1,-1.0942993727933599
HG00628,1,-0.4274654897767307
HG00629,0,-0.6029785527269227
HG00631,0,-1.7388905259797518
HG00632,0,-1.6859617787382044
HG00634,0,-0.773089872100096
HG00637,0,-1.2304718253701081
HG00638,0,-1.551148534512005
HG00640,0,-1.2605483671903024
HG00641,0,-1.3629866735628315
HG00650,0,-0.9169921172960356
HG00651,0,-1.3149270937299997
HG00653,0,-1.1046500105024868
HG00654,0,-1.351369654433432
HG00656,0,-1.682073433674589
HG00657,1,-1.1497147093410258
HG00662,0,-1.2386509800621104
HG00663,0,-1.2590369789260443
HG00671,0,-1.2222459719062775
HG00672,0,-2.3560011231254387
HG00674,0,-0.9863871120285195
HG00675,1,-1.2019574722838011
HG00683,1,-1.242757827081778
HG00684,0,-0.022058206562398264
HG00689,0,-0.6954209984738312
HG00690,0,-1.3041202519936523
HG00692,0,-1.587986467101155
HG00693,0,-1.611218300026644
HG00698,0,-1.917636614939301
HG00699,0,-1.4670302518346796
HG00701,0,-1.104916148870061
HG00704,0,-1.1918968426163996
HG00705,0,-1.2935048062843753
HG00707,0,-1.5541595372332373
HG00708,0,-1.751468428407073
HG00717,0,-1.8018336569247526
HG00728,0,-0.4487786698264004
HG00729,1,-0.9645652361656532
HG00731,1,-0.279751882299636
HG00732,0,-0.9353031118847748
HG00734,0,-0.9179555855771914
HG00736,0,-1.1705597666328988
HG00737,0,-1.4377749033080183
HG00739,0,-2.023110529426896
HG00740,0,-1.86685659505581
HG00742,0,-2.0483612225499255
HG00743,0,-2.183404965304552
HG00759,0,-0.9327879127934384
HG00766,0,-1.4758061410673917
HG00844,0,-0.8323548289507796
HG00851,0,-1.4995794720983395
HG00864,0,-1.2685741998116589
HG00867,0,-0.7831977234275872
HG00879,1,-0.9216305902724595
HG00881,0,-1.326902749634157
HG00956,0,-1.6277169419848743
HG00978,0,-1.5696898224833928
HG00982,0,-1.662935125521011
HG01028,1,-1.7190376051501
HG01029,0,-1.147696702238195
HG01031,0,-1.1118469039431607
HG01046,0,-1.1606461875816985
HG01047,0,-1.1594433439968481
HG01048,0,-2.6739046249028355
HG01049,0,-0.8485463349147422
HG01051,0,-0.5167208077932975
HG01052,0,-1.333342067392485
HG01054,0,-1.4344070613091442
HG01055,0,-1.5924348744179329
HG01058,0,-1.4693831111349624
HG01060,1,-1.4483155339710672
HG01061,0,-2.3326058666688825
HG01063,0,-1.9905041242866623
